"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","POSIZPROF","Posizione professionale","REGIME_ORARIO","Tempo pieno/parziale","CARATT_OCC","Carattere occupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","1","tempo pieno","1","tempo determinato","2019","2019",1318.861,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","1","tempo pieno","1","tempo determinato","2020","2020",1170.471,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","1","tempo pieno","1","tempo determinato","2019","2019",802.675,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","1","tempo pieno","1","tempo determinato","2020","2020",724.618,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","1","dipendenti","1","tempo pieno","1","tempo determinato","2019","2019",2121.537,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","1","dipendenti","1","tempo pieno","1","tempo determinato","2020","2020",1895.09,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","2","tempo parziale","1","tempo determinato","2019","2019",329.252,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","2","tempo parziale","1","tempo determinato","2020","2020",274.415,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","2","tempo parziale","1","tempo determinato","2019","2019",614.925,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","2","tempo parziale","1","tempo determinato","2020","2020",505.106,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","1","dipendenti","2","tempo parziale","1","tempo determinato","2019","2019",944.178,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","1","dipendenti","2","tempo parziale","1","tempo determinato","2020","2020",779.521,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019","2019",1648.114,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q1","T1-2019",1463.758,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q2","T2-2019",1686.676,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q4","T4-2019",1678.56,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q3","T3-2019",1763.461,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2020","2020",1444.887,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2020-Q2","T2-2020",1336.228,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2020-Q1","T1-2020",1477.463,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2020-Q3","T3-2020",1545.208,,
"IT","Italia","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2020-Q4","T4-2020",1420.646,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019","2019",1417.601,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q1","T1-2019",1364.395,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q2","T2-2019",1440.685,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q4","T4-2019",1435.073,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2019-Q3","T3-2019",1430.25,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2020","2020",1229.724,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","1","dipendenti","9","totale","1","tempo determinato","2020-Q2","T2-2020",1114.414,,
