"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019","2019",657.845,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q1","T1-2019",614.518,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q2","T2-2019",667.412,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q4","T4-2019",657.505,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2019-Q3","T3-2019",691.945,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020","2020",627.016,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q2","T2-2020",613.778,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q1","T1-2020",636.623,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q3","T3-2020",643.435,,
"IT","Italia","1","maschi","Y15-24","15-24 anni","2020-Q4","T4-2020",614.227,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019","2019",427.063,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q1","T1-2019",413.962,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q2","T2-2019",424.288,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q4","T4-2019",423.198,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2019-Q3","T3-2019",446.803,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020","2020",361.559,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q2","T2-2020",331.031,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q1","T1-2020",392.593,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q3","T3-2020",383.679,,
"IT","Italia","2","femmine","Y15-24","15-24 anni","2020-Q4","T4-2020",338.932,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019","2019",1084.908,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q1","T1-2019",1028.48,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q2","T2-2019",1091.699,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q4","T4-2019",1080.704,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2019-Q3","T3-2019",1138.748,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020","2020",988.574,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q2","T2-2020",944.809,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q1","T1-2020",1029.216,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q3","T3-2020",1027.114,,
"IT","Italia","9","totale","Y15-24","15-24 anni","2020-Q4","T4-2020",953.159,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019","2019",365.739,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q1","T1-2019",353.111,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q2","T2-2019",377.437,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q4","T4-2019",359.448,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2019-Q3","T3-2019",372.961,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020","2020",349.387,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q2","T2-2020",353.355,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q1","T1-2020",356.349,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q3","T3-2020",358.356,,
"ITCD","Nord","1","maschi","Y15-24","15-24 anni","2020-Q4","T4-2020",329.487,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019","2019",250.576,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q1","T1-2019",239.536,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q2","T2-2019",254.256,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q4","T4-2019",256.815,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2019-Q3","T3-2019",251.699,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020","2020",214.886,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q2","T2-2020",196.138,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q1","T1-2020",236.594,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q3","T3-2020",219.488,,
"ITCD","Nord","2","femmine","Y15-24","15-24 anni","2020-Q4","T4-2020",207.324,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019","2019",616.315,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q1","T1-2019",592.646,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q2","T2-2019",631.692,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q4","T4-2019",616.263,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2019-Q3","T3-2019",624.66,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020","2020",564.272,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020-Q2","T2-2020",549.493,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020-Q1","T1-2020",592.943,,
"ITCD","Nord","9","totale","Y15-24","15-24 anni","2020-Q3","T3-2020",577.843,,
